     seq      time                            scheduled_show                show                                                           episode                                                       artist                                                     track
0      0   6:01 AM    SURREPTITIOUS MUSIC with Matt Lavallee             unknown                                                           unknown                                               The Chameleons                                               Swamp Thing
1      1   8:02 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                             The Soup Dragons                                                    Softly
2      2   8:07 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                Crime &amp; The City Solution                                             The Adversary
3      3   8:10 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                                     Morphine                                         A Head With Wings
4      4   8:15 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                                    Pearl Jam                                                    Breath
5      5   8:19 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                               The Lemonheads                                                Rudderless
6      6   8:24 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                                      Nirvana                                                 Drain You
7      7   8:31 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                                      Piebald                                           American Hearts
8      8   8:32 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                        The New Pornographers                                   Letter from an Occupant
9      9   8:34 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                               Alternative TV                                        Action Time Vision
10    10   8:38 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                                 The Rezillos                                           Top Of The Pops
11    11   8:40 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                          The Cool Greenhouse                                      The End of the World
12    12   8:43 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                           The Mountain Goats                           Wage Wars Get Rich Die Handsome
13    13   8:46 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                              The Cranberries                                                 Salvation
14    14   8:49 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                                   Rilo Kiley                                                  The Frug
15    15   8:51 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                               The Third Rail                                             Run, Run, Run
16    16   8:54 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                                       Kitner                                                  Suddenly
17    17   8:55 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                                      Wet Leg                                              Too Late Now
18    18   8:58 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                               The Josephine Wiggs Experience                             (Make Me Feel Like) Doris Day
19    19   9:02 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                           The Mountain Goats                  The Best Ever Death Metal Band in Denton
20    20   9:04 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                                   The Damned                               I Just Can't Be Happy Today
21    21   9:07 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                                   Translator                                   Everywhere That I'm Not
22    22   9:09 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                                    Split Enz                                                 I Got You
23    23   9:17 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                                   Cosmonauts                                           Doom Generation
24    24   9:18 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                             Jane's Addiction                                              Up the Beach
25    25   9:22 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                                  Galaxie 500                                        Here She Comes Now
26    26   9:25 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                                 Swervedriver                                         Duel (Radio Edit)
27    27   9:31 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                                      Bauhaus                         All We Ever Wanted Was Everything
28    28   9:36 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                       The New Highway Hymnal                                              Factory Song
29    29   9:44 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                            Adriano Celentano                                 Prisencolinensinainciusol
30    30   9:45 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                                         Dino                                               King Kong 5
31    31   9:47 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                                     Röyksopp                                       Eple (Full Version)
32    32   9:49 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                          Jeans Team / MJ Lan                                            Keine Melodien
33    33   9:52 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown      Skee-Lo / Maurice Fulton Presents Stress / The Breeders               I Wish [A Capella] / My Gigolo / Cannonball
34    34   9:53 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                                 The Breeders                                                Cannonball
35    35   9:56 AM           ENJOY THE SILENCE with Silent g             unknown                                                           unknown                                                        Belly                                                   Gepetto
36    36  10:00 AM          GUNS OR BUTTER with Keith Sawyer             unknown                                                           unknown                                                Liquid Liquid                                                    Cavern
37    37  10:01 AM          GUNS OR BUTTER with Keith Sawyer             unknown                                                           unknown                                                   Roxy Music                                            More Than This
38    38  10:02 AM          GUNS OR BUTTER with Keith Sawyer             unknown                                                           unknown                                                     PARCOURS                                     Memories // Souvenirs
39    39  10:06 AM          GUNS OR BUTTER with Keith Sawyer             unknown                                                           unknown                                                   The Police                                          Synchronicity II
40    40  10:09 AM          GUNS OR BUTTER with Keith Sawyer             unknown                                                           unknown                                                 Simple Minds                                                Waterfront
41    41  10:14 AM          GUNS OR BUTTER with Keith Sawyer             unknown                                                           unknown                                                          SML                                                  Industry
42    42  10:19 AM          GUNS OR BUTTER with Keith Sawyer             unknown                                                           unknown                                                   Thin Lizzy                                                 Jailbreak
43    43  10:22 AM          GUNS OR BUTTER with Keith Sawyer             unknown                                                           unknown                                                       Karate                                                Defendants
44    44  10:26 AM          GUNS OR BUTTER with Keith Sawyer             unknown                                                           unknown                                             Blue Öyster Cult                                           Burnin' for You
45    45  10:28 AM          GUNS OR BUTTER with Keith Sawyer             unknown                                                           unknown                                                    Head East                                     Never Been Any Reason
46    46  10:32 AM          GUNS OR BUTTER with Keith Sawyer             unknown                                                           unknown                                                          SML                                            Feed The Birds
